士兵编号ID|名字|士兵等级|需要实验室等级|训练消耗泉水|生命值|攻击力|升级需要泉水|升级需要黑油|需要时间
id_INT|name_STRING|soldier|needLaboratoryLevel|trainMagicCost_INT|healthProperty|attackValue|magicCost_INT|oilCost_INT|timeCost_INT
10600101|野蛮人1级|1|1|25|45|8|0|0|0
10600102|野蛮人2级|2|1|40|54|11|50000|0|21600
10600103|野蛮人3级|3|3|60|65|14|150000|0|86400
10600104|野蛮人4级|4|5|80|78|18|500000|0|259200
10600105|野蛮人5级|5|6|100|95|23|1500000|0|432000
10600201|弓箭兵1级|1|1|50|20|7|0|0|0
10600202|弓箭兵2级|2|1|80|23|9|50000|0|43200
10600203|弓箭兵3级|3|3|120|28|12|250000|0|172800
10600204|弓箭兵4级|4|5|160|33|16|750000|0|259200
10600205|弓箭兵5级|5|6|200|40|20|2250000|0|432000
10600301|哥布林1级|1|1|25|25|11|0|0|0
10600302|哥布林2级|2|1|40|30|14|50000|0|43200
10600303|哥布林3级|3|3|60|36|19|250000|0|172800
10600304|哥布林4级|4|5|80|43|24|750000|0|259200
10600305|哥布林5级|5|6|100|52|32|2250000|0|432000
10600401|巨人1级|1|1|500|300|11|0|0|0
10600402|巨人2级|2|1|1000|360|14|100000|0|86400
10600403|巨人3级|3|3|1500|430|19|250000|0|172800
10600404|巨人4级|4|5|2000|520|24|750000|0|259200
10600405|巨人5级|5|6|2500|620|32|2250000|0|432000
10600501|骷髅破坏者1级|1|1|1000|20|12|0|0|0
10600502|骷髅破坏者2级|2|1|1500|24|16|100000|0|86400
10600503|骷髅破坏者3级|3|3|2000|29|24|250000|0|172800
10600504|骷髅破坏者4级|4|5|2500|35|32|750000|0|259200
10600505|骷髅破坏者5级|5|6|3000|42|46|2250000|0|432000
10600601|骷髅投弹手1级|1|1|2000|150|25|0|0|0
10600602|骷髅投弹手2级|2|1|2500|180|32|150000|0|86400
10600603|骷髅投弹手3级|3|3|3000|216|48|450000|0|172800
10600604|骷髅投弹手4级|4|5|3500|260|72|1350000|0|259200
10600605|骷髅投弹手5级|5|6|4000|310|108|4500000|0|432000
10600701|巫师1级|1|1|1500|75|25|0|0|0
10600702|巫师2级|2|1|2000|90|32|150000|0|86400
10600703|巫师3级|3|3|2500|108|48|450000|0|172800
10600704|巫师4级|4|5|3000|130|72|1350000|0|259200
10600705|巫师5级|5|6|3500|156|108|4500000|0|432000
10600801|天使1级|1|1|7000|240|30|0|0|0
10600802|天使2级|2|5|10000|300|40|750000|0|259200
10600803|天使3级|3|6|13000|360|50|2500000|0|432000
10600901|巨龙1级|1|1|25000|1700|120|0|0|0
10600902|巨龙2级|2|5|32500|2000|150|2000000|0|576000
10600903|巨龙3级|3|6|40000|2300|180|3000000|0|864000
10601001|黑武士1级|1|1|35000|2600|220|0|0|0
10601002|黑武士2级|2|5|42500|3100|260|3000000|0|864000
10601003|黑武士3级|3|6|50000|3600|300|6000000|0|1036800
